"name","category","prices/lowestPrice","prices/prices/0/availability","prices/prices/0/buyLink","prices/prices/0/currency","prices/prices/0/merchant","prices/prices/0/price","prices/prices/1/availability","prices/prices/1/buyLink","prices/prices/1/currency","prices/prices/1/merchant","prices/prices/1/price","prices/prices/2/availability","prices/prices/2/buyLink","prices/prices/2/currency","prices/prices/2/merchant","prices/prices/2/price","ratings/averageRating","ratings/numberOfRatings","ratings/percentages/1*","ratings/percentages/2*","ratings/percentages/3*","ratings/percentages/4*","ratings/percentages/5*","specifications/CAS Latency","specifications/Color","specifications/ECC / Registered","specifications/First Word Latency","specifications/Form Factor","specifications/Heat Spreader","specifications/Manufacturer","specifications/Model","specifications/Modules","specifications/Part #","specifications/Part #/0","specifications/Part #/1","specifications/Price / GB","specifications/Speed","specifications/Timing","specifications/Voltage","reviews","url"
"Kingston FURY Beast 32 GB (1 x 32 GB) DDR5-6000 CL36 Memory","Memory","304.9","In stock","https://www.amazon.com/dp/B0BRTJNW88?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","304.9",,,,,,,,,,,,,,,,,,"36","Black / Silver","Non-ECC / Unbuffered","12 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"1 x 32GB","KF560C36BBE-32",,,"$9.531","DDR5-6000",,"1.35 V",,"https://pcpartpicker.com/product/4YJp99/kingston-fury-beast-32-gb-1-x-32-gb-ddr5-6000-cl36-memory-kf560c36bbe-32"
"Kingston FURY Beast 32 GB (2 x 16 GB) DDR5-6400 CL32 Memory","Memory",,,,,,,,,,,,,,,,,"5","1","0%","0%","0%","0%","100%","32","White","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF564C32BWEK2-32",,,,"DDR5-6400",,"1.4 V",,"https://pcpartpicker.com/product/XH6NnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-kf564c32bwek2-32"
"Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory","Memory",,,,,,,,,,,,,,,,,"4.6","5","0%","0%","0%","40%","60%","16","Black","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR4)","Yes","Kingston",,"2 x 16GB","KF432C16BBAK2/32",,,,"DDR4-3200",,"1.35 V",,"https://pcpartpicker.com/product/WrQcCJ/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-kf432c16bbak232"
"Kingston FURY Beast 32 GB (1 x 32 GB) DDR5-5200 CL40 Memory","Memory",,,,,,,,,,,,,,,,,,,,,,,,"40","Black","Non-ECC / Unbuffered","15.385 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"1 x 32GB","KF552C40BB-32",,,,"DDR5-5200",,"1.25 V",,"https://pcpartpicker.com/product/XDLFf7/kingston-fury-beast-32-gb-1-x-32-gb-ddr5-5200-cl40-memory-kf552c40bb-32"
"Kingston FURY Beast RGB 32 GB (1 x 32 GB) DDR5-6000 CL36 Memory","Memory",,,,,,,,,,,,,,,,,,,,,,,,"36","Black","Non-ECC / Unbuffered","12 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"1 x 32GB","KF560C36BBEA-32",,,,"DDR5-6000",,"1.35 V",,"https://pcpartpicker.com/product/fnQKHx/kingston-fury-beast-rgb-32-gb-1-x-32-gb-ddr5-6000-cl36-memory-kf560c36bbea-32"
"Kingston FURY Beast 32 GB (1 x 32 GB) DDR5-6000 CL30 Memory","Memory",,,,,,,,,,,,,,,,,,,,,,,,"30","Black","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"1 x 32GB","KF560C30BB-32",,,,"DDR5-6000",,"1.4 V",,"https://pcpartpicker.com/product/XF26Mp/kingston-fury-beast-32-gb-1-x-32-gb-ddr5-6000-cl30-memory-kf560c30bb-32"
"Kingston FURY Renegade 32 GB (2 x 16 GB) DDR5-7200 CL38 Memory","Memory","218.6","In stock","https://www.amazon.com/dp/B0BMQTXZ3Q?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","218.6","Available soon","https://www.awin1.com/cread.php?awinmid=91785&awinaffid=127079&ued=https%3A%2F%2Fwww.memoryc.com%2F43004-32gb-kingston-technology-fury-renegade-7200mhz-ddr5-cl38-dual-memory-kit-2-x-16gb.html","$","memoryc","323.1",,,,,,,,,,,,,"38","Silver / Black","Non-ECC / Unbuffered","10.556 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF572C38RSK2-32",,,"$6.832","DDR5-7200",,"1.45 V",,"https://pcpartpicker.com/product/VYcgXL/kingston-fury-renegade-32-gb-2-x-16-gb-ddr5-7200-cl38-memory-kf572c38rsk2-32"
"Kingston ValueRAM 1 GB (1 x 1 GB) DDR2-667 CL5 Memory","Memory","11.9","In stock","https://www.amazon.com/dp/B000S6E0XY?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","11.9",,,,,,,,,,,"4","1","0%","0%","0%","100%","0%","5","Green","Non-ECC / Unbuffered","14.993 ns","240-pin DIMM (DDR2)","No","Kingston",,"1 x 1GB","KVR667D2/1GR",,,"$11.950","DDR2-667",,"1.8 V",,"https://pcpartpicker.com/product/j4W9TW/kingston-memory-kvr667d21gr"
"Kingston FURY Beast 8 GB (1 x 8 GB) DDR5-5200 CL40 Memory","Memory","76","In stock","https://www.amazon.com/dp/B09T94VYW4?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","76","Available soon","https://www.awin1.com/cread.php?awinmid=91785&awinaffid=127079&ued=https%3A%2F%2Fwww.memoryc.com%2F39380-8gb-kingston-fury-beast-ddr5-5200mhz-cl40-memory-module-1-x-8gb.html","$","memoryc","106.6",,,,,,,,,,,,,"40","Black","Non-ECC / Unbuffered","15.385 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"1 x 8GB","KF552C40BB-8",,,"$9.506","DDR5-5200",,"1.25 V",,"https://pcpartpicker.com/product/w4fnTW/kingston-fury-beast-8-gb-1-x-8-gb-ddr5-5200-cl40-memory-kf552c40bb-8"
"Kingston ValueRAM 1 GB (1 x 1 GB) DDR2-667 CL5 Memory","Memory","14.8","In stock","https://www.amazon.com/dp/B0009JR82U?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","14.8",,,,,,,,,,,,,,,,,,"5","Green","Non-ECC / Unbuffered","14.993 ns","240-pin DIMM (DDR2)","No","Kingston",,"1 x 1GB","KVR667D2N5/1G",,,"$14.800","DDR2-667",,"1.8 V",,"https://pcpartpicker.com/product/ZxMFf7/kingston-memory-kvr667d2n51g"
